province,city,accumulated_confirmed,accumulated_suspected,accumulated_death,accumulated_recovered,time
重庆,巫山县,5,0,0,0,2020/01/28
重庆,巫山县,5,0,0,1,2020/01/29
重庆,巫山县,5,0,0,1,2020/01/30
重庆,巫山县,6,0,0,1,2020/01/31
重庆,巫山县,6,0,0,1,2020/02/01
重庆,巫山县,6,0,0,3,2020/02/02
重庆,巫山县,7,0,0,3,2020/02/03
重庆,巫山县,7,0,0,4,2020/02/04
重庆,巫山县,8,0,0,4,2020/02/05
重庆,巫山县,8,0,0,4,2020/02/06
重庆,荣昌区,1,0,0,0,2020/01/31
重庆,荣昌区,2,0,0,0,2020/02/01
重庆,荣昌区,3,0,0,0,2020/02/02
重庆,荣昌区,5,0,0,0,2020/02/03
重庆,荣昌区,8,0,0,0,2020/02/04
重庆,荣昌区,8,0,0,0,2020/02/05
重庆,荣昌区,8,0,0,0,2020/02/06
重庆,璧山区,2,0,0,0,2020/01/26
重庆,璧山区,3,0,0,0,2020/01/27
重庆,璧山区,3,0,0,0,2020/01/28
重庆,璧山区,4,0,0,0,2020/01/29
重庆,璧山区,4,0,0,0,2020/01/30
重庆,璧山区,6,0,0,0,2020/01/31
重庆,璧山区,8,0,0,0,2020/02/01
重庆,璧山区,8,0,0,0,2020/02/02
重庆,璧山区,8,0,0,0,2020/02/03
重庆,璧山区,8,0,0,0,2020/02/04
重庆,璧山区,8,0,0,0,2020/02/05
重庆,璧山区,8,0,0,0,2020/02/06
重庆,南岸区,1,0,0,0,2020/01/28
重庆,南岸区,1,0,0,0,2020/01/29
重庆,南岸区,2,0,0,0,2020/01/30
重庆,南岸区,3,0,0,0,2020/01/31
重庆,南岸区,3,0,0,0,2020/02/01
重庆,南岸区,4,0,0,0,2020/02/02
重庆,南岸区,7,0,0,0,2020/02/03
重庆,南岸区,7,0,0,0,2020/02/04
重庆,南岸区,8,0,0,0,2020/02/05
重庆,南岸区,8,0,0,0,2020/02/06
重庆,大渡口区,4,0,0,0,2020/01/26
重庆,大渡口区,6,0,0,0,2020/01/27
重庆,大渡口区,6,0,0,0,2020/01/28
重庆,大渡口区,6,0,0,0,2020/01/29
重庆,大渡口区,6,0,0,0,2020/01/30
重庆,大渡口区,6,0,0,0,2020/01/31
重庆,大渡口区,6,0,0,0,2020/02/01
重庆,大渡口区,6,0,0,0,2020/02/02
重庆,大渡口区,6,0,0,0,2020/02/03
重庆,大渡口区,7,0,0,0,2020/02/04
重庆,大渡口区,7,0,0,0,2020/02/05
重庆,大渡口区,7,0,0,0,2020/02/06
重庆,铜梁区,1,0,0,0,2020/01/26
重庆,铜梁区,1,0,0,0,2020/01/27
重庆,铜梁区,2,0,0,0,2020/01/28
重庆,铜梁区,2,0,0,0,2020/01/29
重庆,铜梁区,2,0,0,0,2020/01/30
重庆,铜梁区,2,0,0,0,2020/01/31
重庆,铜梁区,2,0,0,0,2020/02/01
重庆,铜梁区,4,0,0,0,2020/02/02
重庆,铜梁区,7,0,0,0,2020/02/03
重庆,铜梁区,7,0,0,0,2020/02/04
重庆,铜梁区,7,0,0,0,2020/02/05
重庆,铜梁区,7,0,0,0,2020/02/06
重庆,大足区,1,0,0,0,2020/01/26
